"location_id"	"parent_location_id"	"higher_geography_id"	"higher_geography"	"continent"	"water_body"	"island_group"	"island"	"country"	"country_code"	"state_province"	"county"	"municipality"	"locality"	"minimum_elevation_in_meters"	"maximum_elevation_in_meters"	"minimum_distance_above_surface_in_meters"	"maximum_distance_above_surface_in_meters"	"minimum_depth_in_meters"	"maximum_depth_in_meters"	"vertical_datum"	"location_according_to"	"location_remarks"	"decimal_latitude"	"decimal_longitude"	"geodetic_datum"	"coordinate_uncertainty_in_meters"	"coordinate_precision"	"point_radius_spatial_fit"	"footprint_wkt"	"footprint_srs"	"footprint_spatial_fit"	"georeferenced_by"	"georeferenced_date"	"georeference_protocol"	"georeference_sources"	"georeference_remarks"	"preferred_spatial_representation"
"loc_94"								"Chile"	"CH"	"Aysen"													-47.05705	-72.80502													
"loc_95"								"Chile"	"CH"	"Aysen"													-47.11708	-72.77115													
"loc_96"								"Chile"	"CH"	"Aysen"													-46.88095	-72.75928													
"loc_97"								"Chile"	"CH"	"Aysen"													-46.69328	-72.4224													
"loc_98"								"Chile"	"CH"	"Magallanes"													-51.4099	-72.45868													
"loc_99"								"Chile"	"CH"	"Magallanes"													-53.6025	-70.95362													
"loc_100"								"Chile"	"CH"	"Magallanes"													-53.7192	-70.9663													
"loc_101"								"Chile"	"CH"	"Los Lagos"													-42	-73.58333333													
"loc_102"								"Chile"	"CH"	"Los Lagos"													-41.83	-73.58333333													
"loc_103"								"Chile"	"CH"	"Los Lagos"													-42.83	-74.01666667													
"loc_104"								"Chile"	"CH"	"Coquimbo"													-31.5	-71.106													
"loc_105"								"Chile"	"CH"	"Metropolitana de Santiago"													-33.02	-70.21666667													
"loc_106"								"Chile"	"CH"	"Araucania"				4									-37.708	-72.807													
"loc_107"								"Chile"	"CH"	"Los Rios"				4									-40.022	-72.405													
"loc_108"								"Chile"	"CH"	"Los Lagos"				4									-41.33	-72.741													
"loc_109"								"Chile"	"CH"	"Aysen"				4									-45.518	-72.282													
"loc_110"								"Chile"	"CH"	"Valparaiso"													-32.24	-71.52111111													
"loc_111"								"Chile"	"CH"	"Valparaiso"													-32.58	-71.4475													
"loc_112"								"Chile"	"CH"	"Los Lagos"													-41.92	-73.58333333													
"loc_113"								"Chile"	"CH"	"Valparaiso"				115									-33.87	-71.58333333													
