"eventId"	"parentEventId"	"datasetId"	"locationId"	"protocolId"	"eventType"	"eventName"	"recordedBy"	"recordedById"	"fieldNumber"	"eventDate"	"year"	"month"	"day"	"verbatimEventDate"	"verbatimLocality"	"verbatimElevation"	"verbatimDepth"	"verbatimCoordinates"	"verbatimLatitude"	"verbatimLongitude"	"verbatimCoordinateSystem"	"verbatimSrs"	"habitat"	"protocolDescription"	"sampleSizeValue"	"sampleSizeUnit"	"eventEffort"	"fieldNotes"	"eventCitation"	"eventRemarks"	"higherGeographyId"	"higherGeography"	"continent"	"waterBody"	"islandGroup"	"island"	"country"	"countryCode"	"stateProvince"	"county"	"municipality"	"locality"	"minimumElevationInMeters"	"maximumElevationInMeters"	"minimumDistanceAboveSurfaceInMeters"	"maximumDistanceAboveSurfaceInMeters"	"minimumDepthInMeters"	"maximumDepthInMeters"	"verticalDatum"	"locationAccordingTo"	"locationRemarks"	"decimalLatitude"	"decimalLongitude"	"geodeticDatum"	"coordinateUncertaintyInMeters"	"coordinatePrecision"	"pointRadiusSpatialFit"	"footprintWkt"	"footprintSrs"	"footprintSpatialFit"	"georeferencedBy"	"georeferencedDate"	"georeferenceProtocol"	"georeferenceSources"	"georeferenceRemarks"	"preferredSpatialRepresentation"
"evt_48"					"ORGANISM_INTERACTION"					""					"Antillanca, X Region"	""		"38°- 42° S"	-40.729	-72.188																	"Chile"		"Los Lagos"			"Antillanca, X Region"										-40.729	-72.188													
"evt_49"					"ORGANISM_INTERACTION"					""					"Cordillera of Piuchue in Chiloe, X Region"	""		"38°- 42° S"	-42.377	-73.999																	"Chile"		"Los Lagos"			"Cordillera of Piuchue in Chiloe, X Region"										-42.377	-73.999													
"evt_50"					"ORGANISM_INTERACTION"					""					"Antillanca, X Region"	""		"38°- 42° S"	-40.729	-72.188																	"Chile"		"Los Lagos"			"Antillanca, X Region"										-40.729	-72.188													
"evt_51"					"ORGANISM_INTERACTION"					""					"Cordillera of Piuchue in Chiloe, X Region"	""		"38°- 42° S"	-42.377	-73.999																	"Chile"		"Los Lagos"			"Cordillera of Piuchue in Chiloe, X Region"										-42.377	-73.999													
"evt_52"					"ORGANISM_INTERACTION"					""					"Antillanca, X Region"	""		"38°- 42° S"	-40.729	-72.188																	"Chile"		"Los Lagos"			"Antillanca, X Region"										-40.729	-72.188													
"evt_53"					"ORGANISM_INTERACTION"					""					"Cordillera of Piuchue in Chiloe, X Region"	""		"38°- 42° S"	-42.377	-73.999																	"Chile"		"Los Lagos"			"Cordillera of Piuchue in Chiloe, X Region"										-42.377	-73.999													
"evt_54"					"ORGANISM_INTERACTION"					""					""	""		"38°- 42° S"																			"Chile"		"Los Lagos"			""																								
"evt_55"					"ORGANISM_INTERACTION"					""					""	""		"38°- 42° S"																			"Chile"		"Los Lagos"			""																								
"evt_56"					"ORGANISM_INTERACTION"					""					""	""		"38°- 42° S"																			"Chile"		"Los Lagos"			""																								
"evt_57"					"ORGANISM_INTERACTION"					""					"Cordillera of Piuchue in Chiloe, X Region"	""		"38°- 42° S"	-42.377	-73.999																	"Chile"		"Los Lagos"			"Cordillera of Piuchue in Chiloe, X Region"										-42.377	-73.999													
