"eventId"	"subjectOrganismId"	"interactionType"	"interactionTypeId"	"objectOrganismId"
"evt_105"	"84"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_105"
"evt_106"	"85"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_106"
"evt_107"	"86"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_107"
"evt_108"	"87"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_108"
"evt_109"	"88"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_109"
"evt_110"	"89"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_110"
"evt_111"	"90"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_111"
"evt_112"	"90"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_112"
"evt_113"	"91"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_113"
"evt_114"	"91"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_114"
"evt_115"	"92"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_115"
"evt_116"	"92"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_116"
"evt_117"	"58"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_117"
"evt_118"	"61"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_118"
"evt_119"	"61"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_119"
"evt_120"	"95"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_120"
"evt_121"	"95"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_121"
"evt_122"	"91"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_122"
"evt_123"	"91"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_123"
"evt_124"	"91"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_124"
"evt_125"	"91"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_125"
"evt_126"	"91"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_126"
"evt_127"	"91"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_127"
"evt_128"	"91"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_128"
"evt_129"	"91"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_129"
"evt_130"	"91"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_130"
"evt_131"	"91"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_131"
"evt_132"	"91"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_132"
"evt_133"	"91"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_133"
"evt_134"	"91"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_134"
"evt_135"	"91"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_135"
"evt_136"	"91"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_136"
"evt_137"	"91"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_137"
"evt_138"	"91"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_138"
"evt_139"	"91"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_139"
"evt_140"	"91"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_140"
"evt_141"	"98"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_141"
"evt_142"	"99"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_142"
"evt_143"	"100"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_143"
"evt_144"	"101"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_144"
"evt_145"	"102"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_145"
"evt_146"	"102"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_146"
"evt_147"	"103"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_147"
"evt_148"	"103"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_148"
"evt_149"	"103"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_149"
"evt_150"	"104"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_150"
"evt_151"	"105"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_151"
"evt_152"	"105"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_152"
"evt_153"	"105"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_153"
"evt_154"	"106"	"preys on"	"http://purl.obolibrary.org/obo/RO_0002439"	"obj_154"
