assertion_target_id,assertion_target_type,assertion_type,assertion_value,assertion_value_numeric,assertion_unit,assertion_made_date,assertion_effective_date,assertion_by_agent_name,assertion_by_agent_id,assertion_protocol,assertion_protocol_id,assertion_citation,assertion_remarks
da30c5864fae5420f14093877a43d0a5718bbec3,ORGANISM,sex,M,,,,2018-05-25,,,,,,
74bec5610a5e09fa8dfc33c381ad62014f32262d,ORGANISM,sex,M,,,,2018-05-25,,,,,,
c23ff8fe60252d35bafd61f363ac8be6fe76be68,ORGANISM,sex,M,,,,2018-05-25,,,,,,
676b1a3d53c095acb6a880bcbdebae822ae0b9db,ORGANISM,sex,M,,,,2018-05-24,,,,,,
54c8d41bad82867d8c4a627b5adf6016b13c46d3,ORGANISM,sex,M,,,,2018-05-24,,,,,,
850f31326378763b00308f905e8a1ef29fbbdc8e,ORGANISM,sex,M,,,,2018-05-24,,,,,,
360283680609afc73788afbf7db33572e0f4a76e,ORGANISM,sex,M,,,,2018-05-24,,,,,,
d38e85ffbb9e1ec7db37f53ffa74f202182d2432,ORGANISM,sex,M,,,,2018-05-24,,,,,,
40d7241a7a917f6949398deed64d3f186cf1d372,ORGANISM,sex,M,,,,2018-05-24,,,,,,
7b14c733d106e400c2a23ba2edfd04db067fa191,ORGANISM,sex,M,,,,2018-05-24,,,,,,
92f615200b988bc5bfcd3a8c44768816ef5e1c88,ORGANISM,sex,M,,,,2018-05-24,,,,,,
e8055b1d6e70f6d8c9ad29a6290e3e8f5be35295,ORGANISM,sex,F,,,,2018-05-21,,,,,,
14855e89e0cce99f0fa65ff5877d4464ab0e5236,ORGANISM,sex,M,,,,2018-05-24,,,,,,
4ffa81b27c0daab47ce7b9cc5bea88d389cc346b,ORGANISM,sex,M,,,,2018-05-24,,,,,,
df09c578da64638de636618e1be2c6cd2a95f2de,ORGANISM,sex,F,,,,2010-04-07,,,,,,
fb2f474040324181422c96ea15a68ac81cdbc279,ORGANISM,sex,F,,,,2010-04-06,,,,,,
04c9e9034236c5bb3230aeec4e49c966944132e1,ORGANISM,sex,M,,,,2018-06-11,,,,,,
53b07b2a89885b47dbcc3efd0cfb96e557e60e2b,ORGANISM,sex,F,,,,2018-06-11,,,,,,
c1e8962166cb96b1ffdb07f62170ddacf56b4c2f,ORGANISM,sex,F,,,,2018-06-11,,,,,,
3aa2ac436320c9bc851171f662d8e603103317c2,ORGANISM,sex,M,,,,2018-06-11,,,,,,
bc9ac021c3746cba0973bd444885766e4b3a2ebe,ORGANISM,sex,M,,,,2018-06-11,,,,,,
1feae749ff79b2b568caebe7db4e35a728c76c86,ORGANISM,sex,M,,,,2018-06-11,,,,,,
aa94b9820537cdd8a2b8916b9313b4735e526431,ORGANISM,sex,M,,,,2018-06-11,,,,,,
2f4bacdc463e12e28dafa2f422a20a71436cb58b,ORGANISM,sex,M,,,,2018-06-11,,,,,,
a66e3cd112fec3da310446d73f6dae896b750230,ORGANISM,sex,M,,,,2018-06-11,,,,,,
9b833001ca82ef61e87a6dc1529c231e724c5d80,ORGANISM,sex,M,,,,2018-06-11,,,,,,
49a2b11abbb68bbdd36a27319d6fda6f213b6130,ORGANISM,sex,M,,,,2018-05-25,,,,,,
cadabc6548cc7a243ff8146bfc34cf5ef1e0a0df,ORGANISM,sex,M,,,,2018-05-25,,,,,,
26b366d6770452f50c7982127e98137aa7701ae3,ORGANISM,sex,M,,,,2018-05-16,,,,,,
bbca8c1a266c279131445a21cb3af934b6217c32,ORGANISM,sex,M,,,,2018-05-16,,,,,,
2ac35b5b96e0055aaa0b443baa822a72cd8d8a23,ORGANISM,sex,F,,,,2018-05-16,,,,,,
7e8b02f7be66b8914fe6baf92b2d7d59fee27386,ORGANISM,sex,M,,,,2018-05-16,,,,,,
c09f4f0b53b10984c10f294849b11585def7ef4e,ORGANISM,sex,M,,,,2018-05-22,,,,,,
3da6b77e2f6d098818705fb37cfa38cfcd80ec32,ORGANISM,sex,M,,,,2018-05-22,,,,,,
78ae3837cfe6aecf983fd466f20c12d65c32bee1,ORGANISM,sex,F,,,,2018-05-22,,,,,,
db20e66321a88a4415dc2f1176cb75e20ceb6613,ORGANISM,sex,M,,,,2018-05-22,,,,,,
e498633d617184dce453822eb27a6394c9a0ae46,ORGANISM,sex,F,,,,2018-05-24,,,,,,
c2b84659127aeae041bf6969fc97be0c2a4d53b8,ORGANISM,sex,M,,,,2018-05-24,,,,,,
4a68b590aca518b1b16cd5422c055d8ded8bcb26,ORGANISM,sex,M,,,,2018-05-24,,,,,,
a9c4205f081a819c58087a8794423dbf1b5e659a,ORGANISM,sex,M,,,,2018-05-24,,,,,,
354e29431948a51065dbecd2e331ce51f6d8a580,ORGANISM,sex,M,,,,2018-05-24,,,,,,
82fedec67a8f1f7780a87a8eea89011c090f1055,ORGANISM,sex,M,,,,2018-05-24,,,,,,
73e0eaf6c5e52a210532bf158be8eb7a0ff30a5f,ORGANISM,sex,M,,,,2018-05-22,,,,,,
bcb1ef8f224718140e7071aa6d8502565899b273,ORGANISM,sex,F,,,,2018-05-22,,,,,,
e4a5e331fc646873c85b3c1f08520a59011cdac3,ORGANISM,sex,F,,,,2018-05-22,,,,,,
1a8ceb1b9ff2c2877e7bdc7ba2ab44762adec5bc,ORGANISM,sex,M,,,,2018-05-22,,,,,,
c8a3c625a2a1357eac230a80bf6c9406dfd7a7f2,ORGANISM,sex,M,,,,2018-05-22,,,,,,
f7ef8dd223e461f9237eac8467d1d771fbadad49,ORGANISM,sex,F,,,,2018-05-22,,,,,,
c26cf57e6a220cee94691bccdd1eff9810058350,ORGANISM,sex,F,,,,2018-05-22,,,,,,
306a5bf46637955f3c4b6c34ab9ac08f19f83ac5,ORGANISM,sex,M,,,,2018-05-22,,,,,,
aaacb5bb3fa1418febde6289446912fc9061f1b8,ORGANISM,sex,M,,,,2018-05-25,,,,,,
6fd7d9a088fa11cddd5c13b78bf5b0a0e93f8e7a,ORGANISM,sex,F,,,,2010-04-07,,,,,,
30e1493f9f10b02c75a71ca190d85a1efb12cebf,ORGANISM,sex,M,,,,2018-06-11,,,,,,
f5a469c9df06a45953776db4dd0432fd17e6b7bf,ORGANISM,sex,F,,,,2018-06-11,,,,,,
eae9d4732346a42c23e08bf56906f502f561cac7,ORGANISM,sex,M,,,,2018-06-11,,,,,,
477094ff192040d0467ee19d4896c465923ca83c,ORGANISM,sex,M,,,,2018-06-11,,,,,,
9c90bc5da2d73b5d36aae8fd44b2112138f5e982,ORGANISM,sex,M,,,,2018-06-11,,,,,,
1ed1dcd75ff1e96fff92924b1f51cda6b687f259,ORGANISM,sex,M,,,,2018-06-11,,,,,,
5a43d1e39a10df677c10bf1af1c36106b5036906,ORGANISM,sex,M,,,,2018-06-11,,,,,,
995fe28d3fb6c1bc7afb4c5c2f457e45631b2b51,ORGANISM,sex,F,,,,2018-06-11,,,,,,
b8786c98a76342b3f5af4eb625cd799fc8c94f82,ORGANISM,sex,M,,,,2018-06-11,,,,,,
ec43da5ae49f55f8e712bd1348c14fe01cb659e1,ORGANISM,sex,M,,,,2018-06-11,,,,,,
fbaf1f799b9a490f4dd311fa3552c30e503db23a,ORGANISM,sex,M,,,,2018-06-12,,,,,,
65c658c2e6143cb5573f26febc99c577e00a6122,ORGANISM,sex,M,,,,2018-06-12,,,,,,
5db7ddf3b6551d37a257b4164844dac0a4eca3fa,ORGANISM,sex,M,,,,2018-06-12,,,,,,
f84383cf7733905d07f77e9684d7e62a5f771bfe,ORGANISM,sex,M,,,,2018-06-12,,,,,,
afcc218908c6be879cbef73f09ee26825a875276,ORGANISM,sex,M,,,,2018-06-12,,,,,,
2a7e5fe381cf39af4beeefd8cd89417f726e4927,ORGANISM,sex,F,,,,2018-06-14,,,,,,
b00799098cf6a07954ac566327907fe98276f5e0,ORGANISM,sex,F,,,,2018-06-14,,,,,,
69a2ec3292540160314046817b906f1af49c8139,ORGANISM,sex,M,,,,2018-06-14,,,,,,
85acb8b97dd28e142815e7771bc3b1a1d2e1cfc5,ORGANISM,sex,F,,,,2018-06-14,,,,,,
74dfd1528a9d0a1c009b896da93d872431dec7c4,ORGANISM,sex,M,,,,2018-06-11,,,,,,
9cdd66d8be466d8fb6f0e8f48a01b8f3ebe548eb,ORGANISM,sex,M,,,,2018-06-11,,,,,,
85434e19aada129555c7c1c2f19ce54ae9a7c6bd,ORGANISM,sex,F,,,,2018-05-16,,,,,,
09cfaefa1ee4c3cf700a8ae2714075ddbb4536d5,ORGANISM,sex,M,,,,2018-05-16,,,,,,
0c2b3667ac86f3d15951e16e47f6cd9c70b0b2dd,ORGANISM,sex,M,,,,2018-05-16,,,,,,
8ced701693b71c0d087392cf9524bd0d3e64c443,ORGANISM,sex,M,,,,2018-06-21,,,,,,
a97fa1fdeb307c0f9b849780abf185b8fcaf4095,ORGANISM,sex,M,,,,2018-06-11,,,,,,
b6b1b5745bc7bdbfb0154b2c32c13100ed56d2ce,ORGANISM,sex,M,,,,2018-06-14,,,,,,
f29dee3dacbf7b8f7acfeb06ee24a851db18b0b8,ORGANISM,sex,M,,,,2018-06-14,,,,,,
dfbb4a63c5e2f8bced9d8c780b2f436c0d456c4a,ORGANISM,sex,M,,,,2018-06-14,,,,,,
