location_id,parent_location_id,higher_geography_id,higher_geography,continent,water_body,island_group,island,country,country_code,state_province,county,municipality,locality,minimum_elevation_in_meters,maximum_elevation_in_meters,minimum_distance_above_surface_in_meters,maximum_distance_above_surface_in_meters,minimum_depth_in_meters,maximum_depth_in_meters,vertical_datum,location_according_to,location_remarks,decimal_latitude,decimal_longitude,geodetic_datum,coordinate_uncertainty_in_meters,coordinate_precision,point_radius_spatial_fit,footprint_wkt,footprint_srs,footprint_spatial_fit,georeferenced_by,georeferenced_date,georeference_protocol,georeference_sources,georeference_remarks,preferred_spatial_representation
65c66ce376a05af83971f2354acaecbcb1c08310,,,,,,,,Nicaragua,NI,Rivas,,San Juan del Sur,Manglar Ostional,9.0,,,,,,,,,11.11025,85.76227,EPSG:4326,,,,,,,,,,,,
c8b65906a45b582955e1a6bbb0db86ea133f12b6,,,,,,,,Nicaragua,NI,Rivas,,Cárdenas,Miguel Ángel Soto,195.0,,,,,,,,,11.19744,85.66385,EPSG:4326,,,,,,,,,,,,
01d813bf2202cd05d6fc69a768861c531c80dc7f,,,,,,,,Nicaragua,NI,Rivas,,San Juan del Sur,Puente Escameca,10.0,,,,,,,,,11.17169,85.80283,EPSG:4326,,,,,,,,,,,,
74cc2adcf9c235d2772eecb6414c75b8e4749977,,,,,,,,Nicaragua,NI,Rivas,,Cardenas ,Punta de piedra ,34.0,,,,,,,,,11.22777,85.54059,EPSG:4326,,,,,,,,,,,,
256de614ed2870d57942572ee7da8d05f3814647,,,,,,,,Nicaragua,NI,Rivas,,Cárdenas,Reserva Reserva Mono Bayo ,109.0,,,,,,,,,11.20235,85.65926,EPSG:4326,,,,,,,,,,,,
43488e36de2f93d327f5e06570b4a520fb3b0577,,,,,,,,Nicaragua,NI,Rivas,,San Juan del Sur,Río Ostional,22.0,,,,,,,,,11.12598,85.7498,EPSG:4326,,,,,,,,,,,,
7edf631ee01e9df91c5d4f952317a7ea1c6c416c,,,,,,,,México,MX,Chiapas,,La Concordia,"Pacayal, Campo de futbol",1370.0,,,,,,,,,15.78258,92.98462,EPSG:4326,,,,,,,,,,,,
40220764ad4cfab34e9c2cbe623e8f0209a43a21,,,,,,,,México,MX,Chiapas,,La Concordia,Rio sin nombre,872.0,,,,,,,,,15.76952,92.95732,EPSG:4326,,,,,,,,,,,,
d169a62e1befaa2ec4daff60bea96464955236ca,,,,,,,,México,MX,Chiapas,,La Concordia,San Francisco,1880.0,,,,,,,,,15.77563,93.00939,EPSG:4326,,,,,,,,,,,,
22bad5978084e49ba134d0c0cd42a9dd26e8382e,,,,,,,,México,MX,Chiapas,,La Concordia,San Francisco,1559.0,,,,,,,,,15.78002,93.00684,EPSG:4326,,,,,,,,,,,,
5c16c859d41a7e38b314e9fa9afc21c7b994eac2,,,,,,,,México,MX,Baja California Norte,,Ensenada,camino a Sierra Juarez,1619.0,,,,,,,,,32.22755,115.94368,EPSG:4326,,,,,,,,,,,,
be59576393736d6987ee5778ae27229d105195c0,,,,,,,,México,MX,Oaxaca,,San Juan Evangelista Analco,Car. n°175,2694.0,,,,,,,,,17.39602,96.5092,EPSG:4326,,,,,,,,,,,,
